Qatar,QAT,Population density (people per sq. km of land area),239.593195521103
Romania,ROU,Population density (people per sq. km of land area),84.6398470097357
Russian Federation,RUS,Population density (people per sq. km of land area),8.82207955488442
Rwanda,RWA,Population density (people per sq. km of land area),498.659870287799
South Asia,SAS,Population density (people per sq. km of land area),380.247133746081
Saudi Arabia,SAU,Population density (people per sq. km of land area),15.6766543082956
Sudan,SDN,Population density (people per sq. km of land area),
Senegal,SEN,Population density (people per sq. km of land area),82.3474783150678
Singapore,SGP,Population density (people per sq. km of land area),7952.9984184018
Solomon Islands,SLB,Population density (people per sq. km of land area),23.324687388353
Sierra Leone,SLE,Population density (people per sq. km of land area),105.987170961485
El Salvador,SLV,Population density (people per sq. km of land area),309.881467181467
San Marino,SMR,Population density (people per sq. km of land area),563.083333333333
Somalia,SOM,Population density (people per sq. km of land area),23.9234769024771
Serbia,SRB,Population density (people per sq. km of land area),79.8317402241024
Sub-Saharan Africa (excluding high income),SSA,Population density (people per sq. km of land area),50.7586283354254
South Sudan,SSD,Population density (people per sq. km of land area),
Sub-Saharan Africa,SSF,Population density (people per sq. km of land area),50.7620843086558
Small states,SST,Population density (people per sq. km of land area),16.2244628233256
Sao Tome and Principe,STP,Population density (people per sq. km of land area),219.820833333333
Suriname,SUR,Population density (people per sq. km of land area),3.69225
Slovak Republic,SVK,Population density (people per sq. km of land area),113.290578202995
Slovenia,SVN,Population density (people per sq. km of land area),102.639859503382
Sweden,SWE,Population density (people per sq. km of land area),25.0010434312931
Eswatini,SWZ,Population density (people per sq. km of land area),66.0576162790698
Sint Maarten (Dutch part),SXM,Population density (people per sq. km of land area),
Seychelles,SYC,Population density (people per sq. km of land area),210.352173913043
Syrian Arab Republic,SYR,Population density (people per sq. km of land area),92.0671077710614
Turks and Caicos Islands,TCA,Population density (people per sq. km of land area),39.6473684210526
Chad,TCD,Population density (people per sq. km of land area),12.2917336404066
East Asia & Pacific (IDA & IBRD countries),TEA,Population density (people per sq. km of land area),130.185452991291
Europe & Central Asia (IDA & IBRD countries),TEC,Population density (people per sq. km of land area),20.0172566615243
Togo,TGO,Population density (people per sq. km of land area),145.046773303916
Thailand,THA,Population density (people per sq. km of land area),135.897206835131
Tajikistan,TJK,Population density (people per sq. km of land area),65.5727141724908
Turkmenistan,TKM,Population density (people per sq. km of land area),12.4505947694337
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population density (people per sq. km of land area),31.4141444422749
Timor-Leste,TLS,Population density (people per sq. km of land area),85.270477471419
Middle East & North Africa (IDA & IBRD countries),TMN,Population density (people per sq. km of land area),43.8129297485221
Tonga,TON,Population density (people per sq. km of land area),143.329166666667
South Asia (IDA & IBRD),TSA,Population density (people per sq. km of land area),380.247133746081
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population density (people per sq. km of land area),50.7620843086558
Trinidad and Tobago,TTO,Population density (people per sq. km of land area),270.927485380117
Tunisia,TUN,Population density (people per sq. km of land area),74.4413233779609
Turkey,TUR,Population density (people per sq. km of land area),106.960128893104
